dish_name,ingredients,weight,calories,protein,fat,carbs,tags
Grilled Chicken Breast,"chicken breast, olive oil, herbs",150,231,43.5,5.0,0.0,"high-protein,low-carb"
Brown Rice Bowl,"brown rice, vegetables",200,223,4.5,1.8,45.0,"vegetarian,whole-grain"
Greek Salad,"lettuce, tomatoes, cucumber, feta, olives, olive oil",250,180,8.0,15.0,8.0,"vegetarian,low-carb"
Salmon Fillet,"salmon, lemon, herbs",120,206,22.0,12.0,0.0,"high-protein,omega-3"
Quinoa Salad,"quinoa, vegetables, olive oil",180,172,6.0,6.0,26.0,"vegetarian,gluten-free"
Beef Stir Fry,"lean beef, mixed vegetables, soy sauce",200,210,26.0,8.0,12.0,"high-protein,low-carb"
Avocado Toast,"whole grain bread, avocado, tomato",120,234,6.0,15.0,20.0,"vegetarian,healthy-fats"
Protein Smoothie,"whey protein, banana, almond milk",300,185,25.0,3.0,20.0,"high-protein,vegetarian"
Oatmeal Bowl,"oats, berries, nuts, honey",200,310,10.0,8.0,52.0,"vegetarian,whole-grain"
Turkey Sandwich,"turkey, whole grain bread, lettuce",180,280,25.0,8.0,28.0,"high-protein,balanced"
Tuna Salad,"tuna, mixed greens, olive oil",150,180,25.0,8.0,3.0,"high-protein,low-carb"
Sweet Potato,"baked sweet potato, butter",200,180,4.0,4.0,36.0,"vegetarian,complex-carbs"
Egg Omelet,"eggs, vegetables, cheese",150,220,18.0,16.0,4.0,"high-protein,vegetarian"
Lentil Soup,"lentils, vegetables, broth",250,165,12.0,1.0,28.0,"vegetarian,high-fiber"
Chicken Salad Wrap,"chicken, wrap, vegetables",200,290,28.0,10.0,22.0,"high-protein,balanced"
Cottage Cheese Bowl,"cottage cheese, fruits",150,120,14.0,2.0,12.0,"high-protein,low-fat"
Veggie Burger,"plant patty, bun, vegetables",180,220,12.0,8.0,28.0,"vegetarian,plant-based"
Grilled Fish Tacos,"white fish, corn tortillas, cabbage",200,245,20.0,8.0,25.0,"high-protein,balanced"
Pasta Primavera,"whole wheat pasta, vegetables, olive oil",250,285,10.0,8.0,48.0,"vegetarian,whole-grain"
Protein Bar,"nuts, protein powder, dates",60,240,20.0,12.0,15.0,"high-protein,snack"
